"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell378","Cell378","Batch1","4","36519.7196467944","17","0.602756083731096"
"Cell379","Cell379","Batch1","1","52321.6821070716","48","0.850275005890534"
"Cell380","Cell380","Batch1","2","54162.3102618291","48","0.887937004588134"
"Cell381","Cell381","Batch1","2","81508.7094217874","99","1.34867699388392"
"Cell382","Cell382","Batch1","2","49394.6000737209","85","0.818143331184694"
"Cell383","Cell383","Batch1","3","50290.1289208789","87","0.812055051656672"
"Cell384","Cell384","Batch1","4","45273.3607879717","13","0.744969103649792"
"Cell385","Cell385","Batch1","1","62066.4604943459","7","1.02596535798487"
"Cell386","Cell386","Batch1","1","75419.29307243","85","1.24847474375427"
"Cell387","Cell387","Batch1","3","47112.4830586925","13","0.772965343204522"
"Cell388","Cell388","Batch1","4","54987.1675492315","72","0.89368066452023"
"Cell389","Cell389","Batch1","1","78689.2414509789","13","1.28380645756513"
"Cell390","Cell390","Batch1","4","52215.805796171","40","0.868786001328831"
"Cell391","Cell391","Batch1","1","68672.3856413952","82","1.14837095636631"
"Cell392","Cell392","Batch1","1","64724.8643328535","44","1.06172374367641"
"Cell393","Cell393","Batch1","4","46116.2570921638","100","0.763726255942322"
"Cell394","Cell394","Batch1","2","76372.4724681994","37","1.26076617600896"
"Cell395","Cell395","Batch1","1","70195.1713636413","33","1.16844094521475"
"Cell396","Cell396","Batch1","2","54304.3437498005","22","0.897176091850334"
"Cell397","Cell397","Batch1","3","49971.1595540973","54","0.806557548578809"
"Cell398","Cell398","Batch1","2","55376.8168301271","90","0.924975405921678"
"Cell399","Cell399","Batch1","2","70460.8618109618","8","1.15460693000687"
"Cell400","Cell400","Batch1","1","53484.6589926587","13","0.88344053938415"
"Cell401","Cell401","Batch1","3","41157.3965599713","30","0.676521087716157"
"Cell402","Cell402","Batch1","1","58187.1057109864","55","0.966871302512081"
"Cell403","Cell403","Batch1","4","69869.2419426981","98","1.14026419063358"
"Cell404","Cell404","Batch1","4","47485.3448985515","20","0.766795011391756"
"Cell405","Cell405","Batch1","4","57091.8637624521","33","0.941697661552552"
"Cell406","Cell406","Batch1","3","46890.0760890236","38","0.764399084677225"
"Cell407","Cell407","Batch1","2","61289.3421231277","54","1.00251481500497"
"Cell408","Cell408","Batch1","3","58308.3201236581","88","0.932425753376454"
"Cell409","Cell409","Batch1","1","59472.1279990732","44","0.955482445389582"
"Cell410","Cell410","Batch1","4","52867.0059046822","51","0.863780811959433"
"Cell411","Cell411","Batch1","4","51954.6918767293","41","0.840642067661561"
"Cell412","Cell412","Batch1","2","71274.1567576532","89","1.16289421076604"
"Cell413","Cell413","Batch1","3","61146.4816948407","2","1.02045144445006"
"Cell414","Cell414","Batch1","3","57676.9531071601","65","0.928897505132452"
"Cell415","Cell415","Batch1","3","31488.0155444913","82","0.510201106539608"
"Cell416","Cell416","Batch1","2","46391.7193204788","30","0.755619490209593"
"Cell417","Cell417","Batch1","2","69743.6226231487","28","1.12979431910022"
"Cell418","Cell418","Batch1","2","55195.5145776005","56","0.904002841941054"
"Cell419","Cell419","Batch1","3","47020.3818570745","19","0.77229251446962"
"Cell420","Cell420","Batch1","4","54837.8248116924","10","0.91358654879918"
"Cell421","Cell421","Batch1","2","55541.3935133386","37","0.907366985615567"
"Cell422","Cell422","Batch1","2","54160.7373059232","45","0.894090925943951"
"Cell423","Cell423","Batch1","3","66126.3453926159","12","1.08648712321222"
"Cell424","Cell424","Batch1","1","81159.8696332864","51","1.33226653693508"
"Cell425","Cell425","Batch1","2","72956.4790947525","72","1.18376831200497"
"Cell426","Cell426","Batch1","2","76820.3230206606","84","1.27192528673417"
"Cell427","Cell427","Batch1","1","56051.519311891","100","0.909959837813485"
"Cell428","Cell428","Batch1","4","70888.8858978798","22","1.17101738695572"
"Cell429","Cell429","Batch1","4","49206.6890210047","42","0.802077493831774"
"Cell430","Cell430","Batch1","4","58229.9856838851","6","0.966132831949383"
"Cell431","Cell431","Batch1","4","92696.6470776062","85","1.51163283138596"
"Cell432","Cell432","Batch1","1","59720.7253856906","22","0.984857163328016"
"Cell433","Cell433","Batch1","2","56327.5036740357","86","0.937430942745852"
"Cell434","Cell434","Batch1","2","53271.5292949003","24","0.886492884376636"
"Cell435","Cell435","Batch1","1","69860.3620164157","69","1.13465181435708"
"Cell436","Cell436","Batch1","4","91239.0142441712","86","1.52971715494359"
"Cell437","Cell437","Batch1","3","65018.7785139922","66","1.06374222988112"
"Cell438","Cell438","Batch1","1","56825.8737286229","57","0.931523178244268"
"Cell439","Cell439","Batch1","2","90649.5932559707","35","1.48934743084943"
"Cell440","Cell440","Batch1","4","51237.8581769556","80","0.83455378813354"
"Cell441","Cell441","Batch1","1","75079.7756579718","69","1.20771116869334"
"Cell442","Cell442","Batch1","1","55035.3494142393","88","0.916048117341506"
"Cell443","Cell443","Batch1","2","48808.0494505514","98","0.794216884953277"
"Cell444","Cell444","Batch1","3","76394.1251113291","86","1.24008900025341"
"Cell445","Cell445","Batch1","1","41774.7707209365","7","0.680558060125573"
"Cell446","Cell446","Batch1","2","56294.3814391527","45","0.921135358995648"
"Cell447","Cell447","Batch1","2","60060.2226507862","31","0.982198669302303"
"Cell448","Cell448","Batch1","4","54804.9861133349","65","0.897651995101851"
"Cell449","Cell449","Batch1","1","43148.3066939864","30","0.701087541768579"
"Cell450","Cell450","Batch1","1","52665.70526769","37","0.872888615566043"
"Cell451","Cell451","Batch1","4","43852.7562042407","60","0.71259127208972"
"Cell452","Cell452","Batch1","2","87959.5853508417","86","1.42880925516513"
"Cell453","Cell453","Batch1","2","41300.6730043018","73","0.687729429812219"
"Cell454","Cell454","Batch1","1","39292.0038540045","47","0.642535031375098"
"Cell455","Cell455","Batch1","1","68839.2740903913","64","1.12590504080334"
"Cell456","Cell456","Batch1","3","71789.1681005152","82","1.19722488670303"
"Cell457","Cell457","Batch1","2","57572.6184901431","79","0.953332675529283"
"Cell458","Cell458","Batch1","4","57448.0248530859","14","0.929192893357532"
"Cell459","Cell459","Batch1","3","69217.4746862775","22","1.13722825609805"
"Cell460","Cell460","Batch1","1","79200.9672979873","93","1.30797906065078"
"Cell461","Cell461","Batch1","1","43559.7557627119","59","0.716677475869982"
"Cell462","Cell462","Batch1","2","77722.4491385263","24","1.25981436950592"
"Cell463","Cell463","Batch1","1","62267.963734118","20","1.0290997552621"
"Cell464","Cell464","Batch1","2","55945.3897512095","64","0.908630590800628"
"Cell465","Cell465","Batch1","1","77113.1288172826","30","1.26673958233834"
"Cell466","Cell466","Batch1","4","72254.8503804445","36","1.20236135972801"
"Cell467","Cell467","Batch1","3","77310.9203711887","12","1.28441364447224"
"Cell468","Cell468","Batch1","1","56487.1225265648","57","0.922792815147482"
"Cell469","Cell469","Batch1","2","69928.9139422751","21","1.14146215399085"
"Cell470","Cell470","Batch1","3","63522.2251903868","93","1.04464045799266"
"Cell471","Cell471","Batch1","2","53990.3220961971","60","0.887789310475594"
"Cell472","Cell472","Batch1","4","85088.4518886937","12","1.39941812676975"
"Cell473","Cell473","Batch1","3","61842.4538914066","95","1.01185236500887"
"Cell474","Cell474","Batch1","2","59222.8736122474","24","0.964639480367038"
"Cell475","Cell475","Batch1","1","66555.6900226988","77","1.10007498156586"
"Cell476","Cell476","Batch1","1","64727.8544115801","2","1.05788369675038"
"Cell477","Cell477","Batch1","4","51992.0300231585","92","0.854049410988768"
"Cell478","Cell478","Batch1","2","59240.7130524622","85","0.979655048475232"
"Cell479","Cell479","Batch1","2","100839.850399461","84","1.64281802423503"
"Cell480","Cell480","Batch1","3","59011.1317631787","76","0.951560346178808"
"Cell481","Cell481","Batch1","3","56429.4024518286","63","0.912043965845988"
"Cell482","Cell482","Batch1","1","69346.1609921663","65","1.12380450231389"
"Cell483","Cell483","Batch1","4","64880.0947571809","84","1.0781177901683"
"Cell484","Cell484","Batch1","4","53762.9466445799","20","0.887772900018646"
"Cell485","Cell485","Batch1","2","48216.4456458505","57","0.793445593476681"
"Cell486","Cell486","Batch1","2","70937.911072864","65","1.16863787069814"
"Cell487","Cell487","Batch1","1","61314.3385867203","92","1.01124517810176"
"Cell488","Cell488","Batch1","1","65936.6323936679","8","1.07511467654667"
"Cell489","Cell489","Batch1","4","56485.2623109699","6","0.920741508028876"
"Cell490","Cell490","Batch1","1","43026.7780287202","51","0.708423016024713"
"Cell491","Cell491","Batch1","1","60707.2809529201","67","1.00482868943476"
"Cell492","Cell492","Batch1","4","96578.8778014717","20","1.55876366374304"
"Cell493","Cell493","Batch1","1","44696.284785977","17","0.734712568056763"
"Cell494","Cell494","Batch1","1","49169.9892339577","53","0.81806127889995"
"Cell495","Cell495","Batch1","2","45834.3574300506","13","0.772407387668261"
"Cell496","Cell496","Batch1","2","55657.5867779574","48","0.916327095109637"
"Cell497","Cell497","Batch1","2","78927.9625977988","51","1.32750750441991"
"Cell498","Cell498","Batch1","2","58066.0566282496","21","0.969792363848975"
"Cell499","Cell499","Batch1","4","56890.6152918501","66","0.925320025517604"
"Cell500","Cell500","Batch1","1","46271.1797787918","52","0.746577328430779"
"Cell501","Cell501","Batch1","2","60660.8190464074","63","0.987023343645263"
"Cell502","Cell502","Batch1","3","73648.9587726343","73","1.18678783608356"
"Cell503","Cell503","Batch1","3","94093.3974979881","19","1.54880251637509"
"Cell504","Cell504","Batch1","3","77881.1522880563","57","1.27824331265948"
"Cell505","Cell505","Batch1","2","50311.8206198897","25","0.820211048760249"
"Cell506","Cell506","Batch1","4","54142.4596227885","24","0.881323590437749"
"Cell507","Cell507","Batch1","2","67608.6431462571","27","1.09145949166772"
"Cell508","Cell508","Batch1","4","59754.0181406832","90","0.990551591889265"
"Cell509","Cell509","Batch1","3","63263.641544244","76","1.03728857327958"
"Cell510","Cell510","Batch1","2","46052.6342109668","53","0.749514800224622"
"Cell511","Cell511","Batch1","4","54978.3102053349","83","0.905988507231864"
"Cell512","Cell512","Batch1","2","49747.6820958932","44","0.822918774156808"
"Cell513","Cell513","Batch1","1","49726.2586230848","86","0.815550478986776"
"Cell514","Cell514","Batch1","3","51855.6864886077","70","0.839181536993114"
"Cell515","Cell515","Batch1","3","55107.5432079277","15","0.906530052311176"
"Cell516","Cell516","Batch1","1","59806.3081223926","60","0.981296094170116"
"Cell517","Cell517","Batch1","3","67961.0335512256","98","1.13171434256323"
"Cell518","Cell518","Batch1","2","54076.978880959","93","0.887510332707464"
"Cell519","Cell519","Batch1","2","50442.950122904","11","0.820424384700583"
"Cell520","Cell520","Batch1","3","82721.3918270217","4","1.34593644757346"
"Cell521","Cell521","Batch1","4","73040.7863600905","59","1.18524525313037"
"Cell522","Cell522","Batch1","3","68828.2239672347","75","1.11932444756686"
"Cell523","Cell523","Batch1","2","84119.5377430646","32","1.37856043598777"
"Cell524","Cell524","Batch1","1","49239.5091116074","95","0.806360623095423"
"Cell525","Cell525","Batch1","2","90198.0887130218","1","1.47379031766192"
"Cell526","Cell526","Batch1","4","76518.6564183827","17","1.25946974991"
"Cell527","Cell527","Batch1","4","63665.9143879974","33","1.03248030939357"
"Cell528","Cell528","Batch1","3","67837.2407536328","88","1.10572017875626"
"Cell529","Cell529","Batch1","4","60613.2192974482","76","1.01004721474449"
"Cell530","Cell530","Batch1","4","58561.6217291625","5","0.953742936953005"
"Cell531","Cell531","Batch1","3","43684.7036093741","3","0.724291927894246"
"Cell532","Cell532","Batch1","1","69460.808718157","77","1.12318090494983"
"Cell533","Cell533","Batch1","2","91900.7693236086","45","1.53211308165812"
"Cell534","Cell534","Batch1","1","90939.9421581435","59","1.48138835922923"
"Cell535","Cell535","Batch1","1","61942.317336329","45","1.01337853750511"
"Cell536","Cell536","Batch1","1","58596.1598715598","60","0.95835427535563"
"Cell537","Cell537","Batch1","2","62093.6432101204","65","1.00517330903069"
"Cell538","Cell538","Batch1","2","75296.2518006185","66","1.23600279647315"
"Cell539","Cell539","Batch1","1","80455.5200328095","12","1.32319155424236"
"Cell540","Cell540","Batch1","3","64964.0182686792","94","1.05776882355174"
"Cell541","Cell541","Batch1","2","74821.1402011931","96","1.2416644041205"
"Cell542","Cell542","Batch1","4","59550.789424915","15","0.986252052168668"
"Cell543","Cell543","Batch1","3","66141.0221442993","39","1.08415683832548"
"Cell544","Cell544","Batch1","2","75896.6634594917","1","1.2601753995588"
"Cell545","Cell545","Batch1","1","123984.858138925","38","2.05421176948564"
"Cell546","Cell546","Batch1","1","59230.9495598823","22","0.976619113939695"
"Cell547","Cell547","Batch1","4","52384.736338347","98","0.857512017404974"
"Cell548","Cell548","Batch1","2","65457.8426983389","59","1.06905921793254"
"Cell549","Cell549","Batch1","2","55206.4432351205","56","0.911617293965318"
"Cell550","Cell550","Batch1","3","67985.9692904379","13","1.11476234053508"
"Cell551","Cell551","Batch1","4","64103.2074466979","16","1.05583238963177"
"Cell552","Cell552","Batch1","2","77904.0665444919","6","1.28950088612638"
"Cell553","Cell553","Batch1","1","49416.7494434017","93","0.797285640402711"
"Cell554","Cell554","Batch1","4","47046.180293078","55","0.771685327562512"
"Cell555","Cell555","Batch1","3","81921.3247693089","57","1.35099086831371"
"Cell556","Cell556","Batch1","2","62633.6003538804","96","1.04861178857428"
"Cell557","Cell557","Batch1","1","49787.4323399277","87","0.811907357544133"
"Cell558","Cell558","Batch1","1","48302.8342440242","19","0.784583946724305"
"Cell559","Cell559","Batch1","4","53612.0075211816","20","0.888380086925753"
"Cell560","Cell560","Batch1","4","67379.2428731744","16","1.10384938666409"
"Cell561","Cell561","Batch1","3","53881.6319060919","57","0.890825245011131"
"Cell562","Cell562","Batch1","1","78305.1954379535","81","1.28585776468374"
"Cell563","Cell563","Batch1","2","62866.513598083","63","1.02568638021674"
"Cell564","Cell564","Batch1","3","62266.333028445","22","1.02306070710493"
"Cell565","Cell565","Batch1","4","59688.5837588603","75","0.974173955854317"
"Cell566","Cell566","Batch1","3","56414.6713721355","76","0.929832901178537"
"Cell567","Cell567","Batch1","1","57899.5082589298","34","0.958370685812579"
"Cell568","Cell568","Batch1","3","75455.3006838434","87","1.23496893768537"
"Cell569","Cell569","Batch1","1","45809.5195140619","24","0.745527059186052"
"Cell570","Cell570","Batch1","4","74410.6053025371","83","1.19725770761692"
"Cell571","Cell571","Batch1","1","55818.6409988116","91","0.892236544308732"
"Cell572","Cell572","Batch1","2","69351.6105453464","97","1.14502322314875"
"Cell573","Cell573","Batch1","1","59178.7085460574","35","0.976028337489537"
"Cell574","Cell574","Batch1","1","45744.9837164212","90","0.735139239937433"
"Cell575","Cell575","Batch1","4","64175.7731925164","57","1.06287247566283"
"Cell576","Cell576","Batch1","2","52697.2773814153","33","0.856691494557532"
"Cell577","Cell577","Batch1","3","74972.6358720812","43","1.22817500850855"
"Cell578","Cell578","Batch1","2","50739.1658759496","41","0.840921045429692"
"Cell579","Cell579","Batch1","4","41874.9875786014","95","0.689501759162694"
"Cell580","Cell580","Batch1","3","50473.2110112552","93","0.829351673280755"
"Cell581","Cell581","Batch1","2","53401.5716161224","53","0.872724510996554"
"Cell582","Cell582","Batch1","4","50757.4591413341","61","0.836424580225708"
"Cell583","Cell583","Batch1","3","57095.6483205438","45","0.93944942895056"
"Cell584","Cell584","Batch1","1","53153.2590989126","70","0.865553141309909"
"Cell585","Cell585","Batch1","2","55152.1804737124","24","0.896043770320864"
"Cell586","Cell586","Batch1","2","63933.4698259265","35","1.05358415702978"
"Cell587","Cell587","Batch1","1","47442.3551693666","24","0.787554239432046"
"Cell588","Cell588","Batch1","2","69705.5717797245","71","1.13732671883974"
"Cell589","Cell589","Batch1","4","59843.5438382034","6","0.98493921561276"
"Cell590","Cell590","Batch1","3","59418.1162257408","93","0.955745012700764"
"Cell591","Cell591","Batch1","2","39845.0123588111","65","0.658584458271069"
"Cell592","Cell592","Batch1","1","56373.4839448576","72","0.91983893289669"
"Cell593","Cell593","Batch1","3","53576.7657953051","70","0.875596340962602"
"Cell594","Cell594","Batch1","3","70930.7326359891","58","1.18644321648763"
"Cell595","Cell595","Batch1","4","79075.9531785362","4","1.28612033199492"
"Cell596","Cell596","Batch1","3","76592.1019760103","37","1.24982040122408"
"Cell597","Cell597","Batch1","2","47922.1216944375","55","0.779874145579986"
"Cell598","Cell598","Batch1","2","51061.66104312","89","0.833733265286097"
"Cell599","Cell599","Batch1","2","58811.6959352833","83","0.976619113939695"
"Cell600","Cell600","Batch1","2","48439.3908592374","85","0.793544056218375"
"Cell601","Cell601","Batch1","4","43440.0697905936","4","0.720566754166858"
"Cell602","Cell602","Batch1","4","70141.5157074698","76","1.14231549775219"
"Cell603","Cell603","Batch1","1","60695.8924828297","97","1.00090659022399"
"Cell604","Cell604","Batch1","3","67702.5551169797","30","1.12697172050502"
"Cell605","Cell605","Batch1","4","47069.7794794199","17","0.756144624831956"
"Cell606","Cell606","Batch1","4","55932.9557052241","55","0.926025675166404"
"Cell607","Cell607","Batch1","2","47370.2784036675","80","0.768682213940874"
"Cell608","Cell608","Batch1","2","50722.1027609808","84","0.835423542351828"
"Cell609","Cell609","Batch1","4","62682.8026039856","29","1.02507919330964"
"Cell610","Cell610","Batch1","1","50868.6152624977","77","0.81620689726473"
"Cell611","Cell611","Batch1","4","49085.1044996558","8","0.802077493831774"
"Cell612","Cell612","Batch1","2","46109.132356174","54","0.750909689065274"
"Cell613","Cell613","Batch1","2","44943.2402889731","66","0.731233551183608"
"Cell614","Cell614","Batch1","2","50384.074065132","88","0.836900483477224"
"Cell615","Cell615","Batch1","3","84183.9732582985","39","1.38944056894485"
"Cell616","Cell616","Batch1","2","52516.0166292572","7","0.85529660571688"
"Cell617","Cell617","Batch1","1","47923.7399226699","30","0.797548207713893"
"Cell618","Cell618","Batch1","2","45202.1038787135","60","0.749843009363599"
"Cell619","Cell619","Batch1","3","58097.1136522212","76","0.948770568497504"
"Cell620","Cell620","Batch1","1","55337.0872100112","15","0.896175053976454"
"Cell621","Cell621","Batch1","4","62970.0102305344","63","1.03197158522815"
"Cell622","Cell622","Batch1","1","56582.7084135197","94","0.938464801533629"
"Cell623","Cell623","Batch1","2","71220.3251681207","20","1.18608218643476"
"Cell624","Cell624","Batch1","1","69148.9549553309","89","1.13891853316378"
"Cell625","Cell625","Batch1","2","73955.1361643138","95","1.20177058327786"
"Cell626","Cell626","Batch1","3","62862.2065331045","36","1.03664856545857"
"Cell627","Cell627","Batch1","1","74822.3961123642","24","1.23301609330846"
"Cell628","Cell628","Batch1","3","58964.4180614223","62","0.961931754970478"
"Cell629","Cell629","Batch1","2","72155.9487665528","19","1.18734579161982"
"Cell630","Cell630","Batch1","4","58011.9122619071","48","0.944175640551828"
"Cell631","Cell631","Batch1","4","52244.9281930202","24","0.857905868371747"
"Cell632","Cell632","Batch1","2","46909.7012026623","27","0.766155003570751"
"Cell633","Cell633","Batch1","2","51959.3728928594","69","0.854476082869438"
"Cell634","Cell634","Batch1","4","51547.7623139277","84","0.840756940860203"
"Cell635","Cell635","Batch1","2","67185.6864944506","31","1.09889342866554"
"Cell636","Cell636","Batch1","2","59253.4987101188","53","0.97826015963458"
"Cell637","Cell637","Batch1","1","52782.3727900353","77","0.865487499482113"
"Cell638","Cell638","Batch1","1","50027.7328126246","92","0.827628575301127"
"Cell639","Cell639","Batch1","3","81026.95654189","31","1.32097614255427"
"Cell640","Cell640","Batch1","3","57105.1818205749","99","0.914128093878491"
"Cell641","Cell641","Batch1","4","46641.1890859296","55","0.792460966059751"
"Cell642","Cell642","Batch1","2","54940.0644487031","6","0.90377309554377"
"Cell643","Cell643","Batch1","4","61001.8754212526","16","1.02025451896668"
"Cell644","Cell644","Batch1","1","70728.8066331414","49","1.14165907947423"
"Cell645","Cell645","Batch1","3","58865.679239144","29","0.974813963675322"
"Cell646","Cell646","Batch1","1","61228.6568324558","47","1.01024414022788"
"Cell647","Cell647","Batch1","1","48635.6855699523","73","0.799911313514527"
"Cell648","Cell648","Batch1","4","70212.7054324913","80","1.14412064801656"
"Cell649","Cell649","Batch1","3","61082.4991942404","55","0.99915067133046"
"Cell650","Cell650","Batch1","4","69382.638579511","54","1.13842621945531"
"Cell651","Cell651","Batch1","3","81583.0066056774","38","1.32448798034132"
"Cell652","Cell652","Batch1","4","62055.4856945366","75","1.0191550183511"
"Cell653","Cell653","Batch1","2","56584.5173473606","96","0.933656537647618"
"Cell654","Cell654","Batch1","2","51356.1638553802","21","0.830155785671249"
"Cell655","Cell655","Batch1","2","53354.796125637","63","0.868572665388496"
"Cell656","Cell656","Batch1","1","49862.7161936073","94","0.805720615274418"
"Cell657","Cell657","Batch1","1","64471.7351658876","72","1.06786125457528"
"Cell658","Cell658","Batch1","2","44643.4610860665","69","0.725998615416926"
"Cell659","Cell659","Batch1","3","42231.7507396558","1","0.696180815140874"
"Cell660","Cell660","Batch1","4","52392.7571913068","22","0.845417510633675"
"Cell661","Cell661","Batch1","2","74373.5614860175","31","1.20774398960724"
"Cell662","Cell662","Batch1","3","61363.2455540029","48","1.00328610648157"
"Cell663","Cell663","Batch1","1","54238.7090184837","83","0.880158447994381"
"Cell664","Cell664","Batch1","3","68454.0253935962","97","1.11942291030855"
"Cell665","Cell665","Batch1","2","55809.7703730477","41","0.914965027182883"
"Cell666","Cell666","Batch1","2","58512.9818065156","35","0.959535828255947"
"Cell667","Cell667","Batch1","4","60754.5580708037","33","1.01085132713499"
"Cell668","Cell668","Batch1","1","74440.4624044345","52","1.2267801196679"
"Cell669","Cell669","Batch1","2","77537.2502065053","66","1.28636648884915"
"Cell670","Cell670","Batch1","3","77381.4416465728","93","1.27743920026898"
"Cell671","Cell671","Batch1","3","72824.7554417748","97","1.21245379075155"
"Cell672","Cell672","Batch1","2","63952.3757660903","62","1.05890114508121"
"Cell673","Cell673","Batch1","4","87197.1689802044","72","1.42465740955708"
"Cell674","Cell674","Batch1","2","90091.3834835443","45","1.46991744982199"
"Cell675","Cell675","Batch1","2","78097.6522474658","20","1.25544918795753"
"Cell676","Cell676","Batch1","2","57300.5941209868","57","0.934657575521497"
"Cell677","Cell677","Batch1","2","48629.7378992018","33","0.794167653582431"
"Cell678","Cell678","Batch1","1","62229.8431170336","87","1.0107200434794"
"Cell679","Cell679","Batch1","1","53581.1576901458","22","0.889660102567763"
"Cell680","Cell680","Batch1","1","63259.3472304266","42","1.04273684498659"
"Cell681","Cell681","Batch1","3","53631.7927202856","88","0.880847687186233"
"Cell682","Cell682","Batch1","3","71987.8028379233","77","1.20948349804381"
"Cell683","Cell683","Batch1","1","92771.1696355","23","1.52036319448274"
"Cell684","Cell684","Batch1","2","72605.7179981458","75","1.1827344532172"
"Cell685","Cell685","Batch1","2","69450.0935542163","62","1.15349101893435"
"Cell686","Cell686","Batch1","2","60323.1554404328","3","1.00118556799212"
"Cell687","Cell687","Batch1","2","92611.3272110727","7","1.52758379554024"
"Cell688","Cell688","Batch1","2","58928.6671048978","24","0.979704279846078"
"Cell689","Cell689","Batch1","1","78846.5632694017","51","1.28382286802208"
"Cell690","Cell690","Batch1","4","82048.296564497","96","1.3333168061798"
"Cell691","Cell691","Batch1","1","61825.7606557055","66","1.03197158522815"
"Cell692","Cell692","Batch1","2","31236.9193089004","50","0.516716057948299"
"Cell693","Cell693","Batch1","4","56050.8112756424","73","0.907810067953186"
"Cell694","Cell694","Batch1","2","65605.7068053566","37","1.0738510713616"
"Cell695","Cell695","Batch1","2","46128.1766076106","13","0.756686169911267"
"Cell696","Cell696","Batch1","2","46247.6213908476","12","0.770618647860837"
"Cell697","Cell697","Batch1","3","71773.8832861874","98","1.18284932641584"
"Cell698","Cell698","Batch1","1","34228.2874965487","56","0.563305345226072"
"Cell699","Cell699","Batch1","4","62737.3419205751","62","1.04495225667469"
"Cell700","Cell700","Batch1","2","56737.6228654983","83","0.914193735706287"
"Cell701","Cell701","Batch1","4","52485.4353925234","14","0.855936613537885"
"Cell702","Cell702","Batch1","4","60637.5221970064","84","1.00274456140226"
"Cell703","Cell703","Batch1","3","60530.0592544963","92","0.962440479135893"
"Cell704","Cell704","Batch1","3","62906.3168608948","61","1.03111824146681"
"Cell705","Cell705","Batch1","3","61378.0224546448","100","1.00454971166663"
"Cell706","Cell706","Batch1","1","53795.6915418848","88","0.890283699931819"
"Cell707","Cell707","Batch1","2","63050.8308080179","84","1.03801063338533"
"Cell708","Cell708","Batch1","2","79026.7572595579","88","1.28790907180235"
"Cell709","Cell709","Batch1","4","68420.9326207893","3","1.12124447102987"
"Cell710","Cell710","Batch1","3","80773.9579868819","93","1.32527568227487"
"Cell711","Cell711","Batch1","3","56671.3414031397","17","0.937808383255676"
"Cell712","Cell712","Batch1","2","67279.7896848866","97","1.10124012400923"
"Cell713","Cell713","Batch1","1","66215.6226156395","59","1.09190257400534"
"Cell714","Cell714","Batch1","3","51603.7933656088","24","0.845598025660113"
"Cell715","Cell715","Batch1","2","50849.4447938748","89","0.833257362034581"
"Cell716","Cell716","Batch1","2","87034.2271870788","86","1.41981632475717"
"Cell717","Cell717","Batch1","1","50744.0369354047","17","0.847403175924486"
"Cell718","Cell718","Batch1","1","72413.1027143368","16","1.21503023249252"
"Cell719","Cell719","Batch1","2","56770.1268029244","4","0.945455656193838"
"Cell720","Cell720","Batch1","3","48058.9453046057","94","0.782910080115523"
"Cell721","Cell721","Batch1","1","44053.3417606743","51","0.726605802324034"
"Cell722","Cell722","Batch1","3","47039.2683220437","7","0.776050509110905"
"Cell723","Cell723","Batch1","4","40537.9943502286","29","0.674305676028063"
"Cell724","Cell724","Batch1","3","50170.9771503039","12","0.804785219228334"
"Cell725","Cell725","Batch1","1","72742.508009278","47","1.21286405217528"
"Cell726","Cell726","Batch1","4","53306.0832991158","62","0.895945307579171"
"Cell727","Cell727","Batch1","2","84740.885717435","9","1.39567654258541"
"Cell728","Cell728","Batch1","2","57841.6819848588","84","0.940827907334263"
"Cell729","Cell729","Batch1","2","49632.5175490105","38","0.817142293310814"
"Cell730","Cell730","Batch1","1","56561.3556164014","91","0.927338511722312"
"Cell731","Cell731","Batch1","3","53220.3637671241","70","0.894008873659207"
"Cell732","Cell732","Batch1","2","54787.3011254151","7","0.898423286578446"
"Cell733","Cell733","Batch1","3","60596.918122137","24","0.99716500603965"
"Cell734","Cell734","Batch1","1","60867.009425979","8","0.994818310695965"
"Cell735","Cell735","Batch1","3","69680.7590430802","74","1.14101907165323"
"Cell736","Cell736","Batch1","1","66698.1568561393","47","1.08542044351054"
"Cell737","Cell737","Batch1","1","69935.5602580396","1","1.16502757016939"
"Cell738","Cell738","Batch1","4","61477.9795103608","27","1.00753641483132"
"Cell739","Cell739","Batch1","1","50951.3706443065","29","0.836949714848071"
"Cell740","Cell740","Batch1","1","65504.2311441304","94","1.08317221090855"
"Cell741","Cell741","Batch1","2","65025.0780983087","54","1.05722727847242"
"Cell742","Cell742","Batch1","2","55230.8631015492","50","0.900622287809592"
"Cell743","Cell743","Batch1","3","55402.6299984353","5","0.91173216716396"
"Cell744","Cell744","Batch1","1","74536.0030140718","74","1.22305494594051"
"Cell745","Cell745","Batch1","1","78283.8034906356","64","1.28918908744436"
"Cell746","Cell746","Batch1","2","61259.9221354262","71","1.00838975859266"
"Cell747","Cell747","Batch1","2","55356.3732445052","10","0.905939275861018"
"Cell748","Cell748","Batch1","4","83322.3057683104","62","1.37511424002851"
"Cell749","Cell749","Batch1","1","46688.8416485469","72","0.765055502955179"
"Cell750","Cell750","Batch1","3","49891.9440011753","76","0.812219156226161"
"Cell751","Cell751","Batch1","2","70969.7276786796","25","1.17344613458415"
"Cell752","Cell752","Batch1","4","49758.5407380959","82","0.8294337255655"
"Cell753","Cell753","Batch1","2","71590.3983635209","89","1.16683272043376"
"Cell754","Cell754","Batch1","1","49602.5762772455","65","0.796563580296962"
"Cell755","Cell755","Batch1","2","66688.6744289793","33","1.08704507874848"
